lsoa_code,bb_q_dl_core,bb_q_ul_core,bb_q_sfu_core
E01000610,109.84,74.2,100.0
E01000611,166.3,96.925,100.0
E01000612,142.975,88.1,99.5
E01000613,83.44,47.92,99.38
E01000615,156.825,87.05,92.225
E01000616,123.0625,90.625,96.4
E01000617,210.63750000000002,95.7,99.975
E01000618,118.375,91.7,100.0
E01000619,122.25,98.95,100.0
E01000620,132.225,91.425,99.25
E01000621,140.525,81.775,94.925
E01000622,128.18,94.97999999999999,99.28
E01000623,153.7,87.225,100.0
E01000624,151.42000000000002,99.34,100.0
E01000625,123.22,85.38,100.0
E01000626,103.64000000000001,69.53999999999999,99.86
E01000627,134.04000000000002,88.22,99.9
E01000628,113.3,70.48,99.3
E01000629,158.56,99.72,100.0
E01000630,122.85833333333333,82.73333333333333,92.06666666666666
E01000631,147.025,96.825,100.0
E01000632,150.225,97.1,98.65
E01000633,146.575,86.025,95.45
E01000634,119.64999999999999,95.5,99.91666666666667
E01000636,110.983333325,81.8,93.45
E01000637,127.42,98.26,99.64
E01000638,108.13999999999999,83.32000000000001,98.47999999999999
E01000639,109.02000000000001,84.22,98.8
E01000640,100.44,75.84,99.36
E01000641,103.0,88.26,100.0
E01000642,93.14999999999999,79.81666666666666,98.98333333333333
E01000643,96.63333333333333,72.85000000000001,99.55
E01000644,105.25999999999999,88.16,95.58
E01000645,149.375,85.775,94.8
E01000646,135.4,89.86,99.88
E01000647,156.14000000000001,96.38,100.0
E01000648,130.7,93.78,99.74
E01000649,116.25714285714285,68.44285714285715,99.18571428571428
E01000650,120.97999999999999,83.58,100.0
E01000651,131.61999999999998,94.92,100.0
E01000652,153.46666666666667,96.45,100.0
E01000653,161.44,93.88,100.0
E01000654,159.525,96.95,98.975
E01000655,177.55,100.0,100.0
E01000656,176.075,96.475,97.25
E01000657,113.47999999999999,92.03999999999999,96.0
E01000658,134.75,95.05,96.275
E01000659,187.375,99.275,100.0
E01000661,145.45999999999998,93.08,100.0
E01000662,166.68,98.48,99.84
E01000663,141.74,100.0,100.0
E01000664,133.94,87.1,99.86
E01000665,138.04999999999998,93.16666666666667,100.0
