lsoa_code,PC1,PC2,quadrant
E01000195,2.3442212755096703,-0.019636024033518072,"Q4 (+PC1,-PC2)"
E01000196,-0.8171264807369111,-1.3107020102683193,"Q3 (-PC1,-PC2)"
E01000285,-0.57201938730913,-0.3343401211454114,"Q3 (-PC1,-PC2)"
E01000298,-2.5759996184190372,-0.3118182177592325,"Q3 (-PC1,-PC2)"
E01000315,4.2166982087616685,-0.43119808725326864,"Q4 (+PC1,-PC2)"
E01000323,1.1123545847937777,-0.8372310078164151,"Q4 (+PC1,-PC2)"
E01000116,-2.099431478198575,1.0730866911732746,"Q2 (-PC1,+PC2)"
E01000214,-3.4595963589462744,-2.491551804274035,"Q3 (-PC1,-PC2)"
E01000231,-0.6252791609493198,-2.9304663042598307,"Q3 (-PC1,-PC2)"
E01000235,0.4579099806157528,0.341399852872755,"Q1 (+PC1,+PC2)"
E01000243,-1.1713913587571274,-0.6352654001734181,"Q3 (-PC1,-PC2)"
E01000270,-1.9125637734478333,-1.2011091863445698,"Q3 (-PC1,-PC2)"
E01000302,-0.08079719508441549,-0.40856382762944715,"Q3 (-PC1,-PC2)"
E01000322,-0.7435855941139888,-0.7661967165081062,"Q3 (-PC1,-PC2)"
E01000200,-2.3975082294770544,-0.3989162745785476,"Q3 (-PC1,-PC2)"
E01000203,-0.9015929991951684,-0.19121784968984615,"Q3 (-PC1,-PC2)"
E01000229,1.1204695801978786,-0.9242728144555092,"Q4 (+PC1,-PC2)"
E01000232,-0.8070265119043122,0.6477100320285685,"Q2 (-PC1,+PC2)"
E01000247,-2.708016462549937,-1.2262725427917822,"Q3 (-PC1,-PC2)"
E01000271,-2.953557476109699,-0.03400281153315883,"Q3 (-PC1,-PC2)"
E01000303,-3.740298449484099,0.974498821395005,"Q2 (-PC1,+PC2)"
E01000318,-0.8459822546672208,0.4871268284528554,"Q2 (-PC1,+PC2)"
E01000136,-3.6634288819147107,0.11073568970030429,"Q2 (-PC1,+PC2)"
E01000141,1.52319482272815,-2.694532049659114,"Q4 (+PC1,-PC2)"
E01000159,-0.9021819750959803,-0.6716580883103594,"Q3 (-PC1,-PC2)"
E01000160,-2.964205375173141,-1.1228925089371318,"Q3 (-PC1,-PC2)"
E01000173,-2.349500361210304,0.4620077425885161,"Q2 (-PC1,+PC2)"
E01000201,-4.264400361353406,0.17284293948878945,"Q2 (-PC1,+PC2)"
E01000204,-2.9179428248440358,-0.28619512650785867,"Q3 (-PC1,-PC2)"
E01000237,-3.180381082419237,-0.9084165978092448,"Q3 (-PC1,-PC2)"
E01000278,-4.801827238393177,2.0213440970317946,"Q2 (-PC1,+PC2)"
E01000296,-2.6538810560216666,-0.7816731899077606,"Q3 (-PC1,-PC2)"
E01000316,-0.2359319654185608,-0.43288153072459457,"Q3 (-PC1,-PC2)"
E01000161,-0.5483064870062273,-0.6367348910805579,"Q3 (-PC1,-PC2)"
E01000166,-0.05418616907890167,-1.9956762995911554,"Q3 (-PC1,-PC2)"
E01000194,-0.12309890101678952,-0.7202677465512259,"Q3 (-PC1,-PC2)"
E01000199,-2.6808776321864247,-0.7197592889546628,"Q3 (-PC1,-PC2)"
E01000208,-4.322755116292721,-2.5584964586972996,"Q3 (-PC1,-PC2)"
E01000209,-2.3178537551249154,-1.050104375649147,"Q3 (-PC1,-PC2)"
E01000248,-2.029172891264105,-1.2216712426492513,"Q3 (-PC1,-PC2)"
E01000284,-0.5203236593193306,-0.502500849239657,"Q3 (-PC1,-PC2)"
E01000301,-3.485754602112577,0.9670874071390106,"Q2 (-PC1,+PC2)"
E01000139,-2.4493068741982986,-1.1052984666295067,"Q3 (-PC1,-PC2)"
E01000167,3.7132218473371355,-1.6013390792936963,"Q4 (+PC1,-PC2)"
E01000186,-4.292865153593149,1.1439933399195934,"Q2 (-PC1,+PC2)"
E01000198,-3.1368413751422506,-0.7341936202906911,"Q3 (-PC1,-PC2)"
E01000222,1.4644437690385534,-1.6821510725077595,"Q4 (+PC1,-PC2)"
E01000223,2.8300149505030436,-1.5065296020970491,"Q4 (+PC1,-PC2)"
E01000234,-3.245293970647183,-0.038677769673582635,"Q3 (-PC1,-PC2)"
E01000274,-0.7217693891352762,0.12660406576127828,"Q2 (-PC1,+PC2)"
E01000121,5.086715221788319,0.16289054257048455,"Q1 (+PC1,+PC2)"
E01000123,-2.322217106181462,-0.016592641154978334,"Q3 (-PC1,-PC2)"
E01000164,1.766954592939025,-2.5546293384517593,"Q4 (+PC1,-PC2)"
E01000178,-2.769460762391772,-1.824038628155567,"Q3 (-PC1,-PC2)"
E01000184,3.722056010715359,-4.531403706652928,"Q4 (+PC1,-PC2)"
E01000193,-0.6966740995914431,-1.577669888189085,"Q3 (-PC1,-PC2)"
E01000210,-3.972544491209729,-2.6137027389063956,"Q3 (-PC1,-PC2)"
E01000213,-4.730070675141543,-2.4657261398223547,"Q3 (-PC1,-PC2)"
E01000239,0.11102055845413594,-1.3134098745683267,"Q4 (+PC1,-PC2)"
E01000240,-0.4498852066803395,-1.3472747572243924,"Q3 (-PC1,-PC2)"
E01000288,-1.32538751272134,0.16297163776179419,"Q2 (-PC1,+PC2)"
E01000119,-2.0331483004980746,0.9199968914608765,"Q2 (-PC1,+PC2)"
E01000212,-3.285044880253369,-0.7743866342883181,"Q3 (-PC1,-PC2)"
E01000230,-2.269352483295987,0.6414110862943133,"Q2 (-PC1,+PC2)"
E01000233,-3.5308880897288155,0.4222533531497065,"Q2 (-PC1,+PC2)"
E01000241,-2.6009360448127503,0.22242329083113385,"Q2 (-PC1,+PC2)"
E01000268,-1.1980277906005001,-2.544811474028727,"Q3 (-PC1,-PC2)"
E01000273,0.09197192736708118,-1.0365667295964152,"Q4 (+PC1,-PC2)"
E01000283,-4.7769239965747685,1.2234836738450858,"Q2 (-PC1,+PC2)"
E01000307,1.706096421626645,-1.0008601909718395,"Q4 (+PC1,-PC2)"
E01000129,3.602406771834562,-0.4577673933282926,"Q4 (+PC1,-PC2)"
E01000135,-1.386403492912751,-0.23097047521017708,"Q3 (-PC1,-PC2)"
E01000175,-3.062831668513856,-0.41022998605055677,"Q3 (-PC1,-PC2)"
E01000211,-0.3191491924721644,-2.2856009327456217,"Q3 (-PC1,-PC2)"
E01000221,6.360659020543791,-2.334612914260776,"Q4 (+PC1,-PC2)"
E01000244,-1.0106979780441994,0.20754655392068194,"Q2 (-PC1,+PC2)"
E01000272,-2.801502866209731,0.1774783638310029,"Q2 (-PC1,+PC2)"
E01000275,-1.19329724511813,0.04634162434446222,"Q2 (-PC1,+PC2)"
E01000172,-2.679238358145945,0.6708627716103444,"Q2 (-PC1,+PC2)"
E01000207,-3.592125470000378,-0.4543861694177629,"Q3 (-PC1,-PC2)"
E01000257,1.621593208970491,-1.2480297690639979,"Q4 (+PC1,-PC2)"
E01000308,1.3558709638178672,-3.1427819113216713,"Q4 (+PC1,-PC2)"
E01033925,-1.173956079192457,0.17593312549075965,"Q2 (-PC1,+PC2)"
E01000118,-2.446262438010803,0.6796849778075653,"Q2 (-PC1,+PC2)"
E01000264,-1.208954943707127,-3.669184238003949,"Q3 (-PC1,-PC2)"
E01000266,-3.7737930056565716,0.33630539690073125,"Q2 (-PC1,+PC2)"
E01000310,0.7372624116852043,-0.184303108974405,"Q4 (+PC1,-PC2)"
E01000250,-0.8701964136900661,-2.0489750120006907,"Q3 (-PC1,-PC2)"
E01000276,-5.36710657690528,1.6355191016890709,"Q2 (-PC1,+PC2)"
E01000280,-4.479722791365357,0.0362991432830883,"Q2 (-PC1,+PC2)"
E01000249,-3.443454252592965,-0.264899100963668,"Q3 (-PC1,-PC2)"
E01000282,-3.1565335982660723,0.19225843853340938,"Q2 (-PC1,+PC2)"
E01000256,-2.2874937331012135,-3.4945289887629887,"Q3 (-PC1,-PC2)"
E01000260,-0.6518907555422243,-3.3205971867434867,"Q3 (-PC1,-PC2)"
E01000261,-2.040964806674541,-1.3383894878725633,"Q3 (-PC1,-PC2)"
E01000305,0.857126641677359,-3.904146260947101,"Q4 (+PC1,-PC2)"
E01000259,-1.7743899202926998,-1.5761404362483245,"Q3 (-PC1,-PC2)"
E01000206,-4.213760243126257,-3.035414303742265,"Q3 (-PC1,-PC2)"
E01000255,1.398097741549066,-4.3762705347466015,"Q4 (+PC1,-PC2)"
E01000228,-1.4951916285692708,-3.5863208011860324,"Q3 (-PC1,-PC2)"
E01000258,-1.8669201338663735,-2.210853935958642,"Q3 (-PC1,-PC2)"
E01000188,-3.1884430441704694,-0.0838367223981496,"Q3 (-PC1,-PC2)"
E01000246,-2.201457611452741,-0.0044536372677009845,"Q3 (-PC1,-PC2)"
E01000254,-2.782618983634686,-0.301566764552136,"Q3 (-PC1,-PC2)"
E01000253,-1.8009175618237026,-2.906912244586109,"Q3 (-PC1,-PC2)"
E01000290,1.7997501453319151,-1.3857649930807185,"Q4 (+PC1,-PC2)"
E01000279,-2.9430314887099622,-3.0187914363158046,"Q3 (-PC1,-PC2)"
E01000373,1.186354436349401,-1.0506141291099553,"Q4 (+PC1,-PC2)"
E01000411,-1.4471793297855085,2.963350209484745,"Q2 (-PC1,+PC2)"
E01000438,-0.46865273591001694,2.6375118053678777,"Q2 (-PC1,+PC2)"
E01000452,-2.76200583394891,3.074817655569586,"Q2 (-PC1,+PC2)"
E01000456,-3.0623700357530024,3.4586127865262437,"Q2 (-PC1,+PC2)"
E01000464,2.846458060557656,-0.22785843801606961,"Q4 (+PC1,-PC2)"
E01000426,-2.337752506919069,1.6030784587579017,"Q2 (-PC1,+PC2)"
