lsoa_code,PC1,PC2
E01000210,-5.184144013563228,0.04019757361111039
E01000213,-5.75094165833968,1.7094578592817395
E01000239,0.261479320434401,-0.6710962463579688
E01000240,-0.39324459704096876,1.8424768209703615
E01000288,-1.42423005721597,-0.8026127929363169
E01000119,-1.7513715402291998,0.44253195819298174
E01000212,-4.031934660095861,-0.4924019429863932
E01000230,-1.9968375507652751,0.8380530683229679
E01000233,-3.565035942710198,2.7785104743987934
E01000241,-2.754785537510486,0.7995113940594408
E01000268,-1.5426129407182427,-0.20449842634448193
E01000273,0.028254664025930284,-2.8602757350226913
E01000283,-5.176093848217974,0.47372084039339535
E01000307,2.5255328416129723,2.29336378577034
E01000129,4.507158145347638,2.343694829712113
E01000135,-1.4520132910920973,-1.4438530244489143
E01000175,-3.229896684908467,0.8868061923908533
E01000211,-0.27737382843289027,-1.0288737114747408
E01000221,6.672404184405371,-0.9731320935160062
E01000244,-0.7978171446111916,0.9584433476378391
E01000272,-3.034271328292719,-1.4712958693911744
E01000275,-1.453005718093532,-1.5960421541007117
E01000172,-2.6082735826281933,-0.4607272682182119
E01000207,-4.22788577580247,-0.781553756617164
E01000257,1.5808851772182038,-1.644350708338418
E01000308,0.5735374706893426,-0.9636354568182293
E01033925,-0.9652662246975997,2.949753135992585
E01000118,-2.243539537924371,1.0582925703312989
E01000264,-1.579837494749081,1.150123691558195
E01000266,-4.3349819413889215,1.3595994939885103
E01000310,1.2508472801721118,0.3196213386322899
E01000250,-1.0402055370511492,-1.7033629804891535
E01000276,-5.434960048180819,2.461092462427219
E01000280,-5.08681082741411,0.6437800010090212
E01000249,-4.197452008633572,-1.960587435657129
