lsoa_code,imd_score,imd_income_score,imd_employ_score,imd_edu_score,imd_health_score,imd_crime_score,imd_barriers_score,imd_livenv_score,imd_pop2015
E01031233,12.011000000000001,0.078,0.073,8.239,-0.477,-0.12099999999999998,22.996,15.994,1617
E01031234,16.837,0.09200000000000001,0.076,3.912,0.116,0.37099999999999994,14.595,41.505,1753
E01031235,5.437,0.041,0.053,5.495,-0.912,-0.602,14.619,9.887,1916
E01031236,10.163,0.085,0.07,11.281,-0.472,-0.255,14.273000000000001,5.489000000000001,1529
E01031237,9.037,0.064,0.059,10.678,-0.715,0.143,12.159,11.957,1531
E01031238,27.01,0.156,0.166,28.193000000000005,0.75,-0.131,18.236,11.042,1284
E01031239,9.576,0.063,0.05,14.624,-0.463,-0.044,11.587,19.77,1623
E01031240,16.055,0.133,0.092,15.021,-0.024,0.055,10.513,11.145,1361
E01031241,12.08,0.078,0.08,9.788,-0.16,-0.53,16.639,18.391,1407
E01031242,21.425,0.138,0.095,37.138,0.388,-0.413,14.999,20.157,1518
E01031243,8.731,0.038,0.032,5.374,-1.302,0.19,34.348,13.046,1934
E01031244,15.24,0.05,0.031000000000000003,8.192,-0.571,0.143,41.728,39.856,1819
E01031245,10.321,0.056,0.044,5.896,-0.815,-1.298,36.077,22.913,1245
E01031246,9.439,0.042,0.023,1.93,-0.676,-0.936,35.643,30.858,1078
E01031247,11.229,0.055,0.037,2.816,-1.231,-1.382,38.567,35.258,2255
E01031248,11.47,0.052,0.048,3.609,-0.831,-0.698,32.224,37.094,2224
E01031249,19.29,0.118,0.074,32.197,0.23699999999999996,-0.255,29.753000000000004,6.862,1143
E01031251,7.042,0.024,0.042,5.901,-0.788,-1.128,35.25,2.937,1136
E01031252,10.562,0.044,0.024,3.7560000000000002,-0.614,-0.518,40.619,23.751,1381
E01031253,12.664,0.087,0.093,8.551,0.234,-1.029,13.355,9.023,1449
E01031254,6.695,0.028,0.024,1.357,-1.077,-0.471,32.774,16.782,1532
E01031255,2.756,0.027,0.029999999999999995,1.078,-0.906,-1.488,16.475,9.323,1402
E01031256,5.332,0.023,0.034,1.025,-1.144,0.275,17.467,15.472,1566
E01031257,14.675,0.103,0.074,15.634000000000002,-0.13,-0.024,15.023,22.664,1378
E01031258,8.917,0.085,0.043,1.5559999999999998,-0.078,-0.38899999999999996,14.345,18.007,1486
E01031259,4.214,0.029999999999999995,0.028,2.481,-1.054,0.129,15.994,7.272999999999999,1346
E01031260,12.494,0.062000000000000006,0.066,13.539,-0.194,0.02,14.611000000000002,28.844,1165
E01031261,28.876,0.156,0.09000000000000001,45.206,0.821,1.079,18.178,15.066,1877
E01031262,19.972,0.146,0.08,20.125,0.645,0.0,22.044,8.48,1449
