lsoa_code,rDERI_overall_z,rDERI_score_0_10,rDERI_decile
E01000345,-0.39688405673113086,3.113355086122927,3
E01000346,-0.34543276302907633,3.273870670229332,4
E01000347,-0.14415521988672492,3.9018078916350314,6
E01000348,-0.6972542906186489,2.1762726520089877,1
E01000349,-0.31990675967458904,3.353505622891056,4
E01000350,-0.5004983912950968,2.7901034390284374,2
E01000351,-0.33293085200720285,3.3128736069046094,4
E01000352,-0.33310331816725786,3.3123355542255037,4
E01000353,-0.2655702435280584,3.523022402742584,5
E01000354,-0.148922069279889,3.8869364752014257,6
E01000355,-0.21940277703825395,3.6670537247388264,5
E01000356,-0.22087341877716282,3.662465678438198,5
E01000357,-0.6480606453250811,2.3297449194770654,1
E01000358,-0.40607261738677036,3.0846890006931216,3
E01000359,-0.36771220678197286,3.2043641977920956,4
E01000360,-0.2797005998163528,3.478939110952457,5
E01000361,-0.5642829793171292,2.5911109615480488,2
E01000362,-0.5050202175001041,2.7759964356413604,2
E01000363,-0.46197203876446796,2.910296334774735,2
E01000364,-0.29923735432133086,3.417989165182973,4
E01000365,-0.0799988034153133,4.101960383887548,7
E01000366,-0.4628379376784495,2.9075949397279994,2
E01000367,-0.05546790661055547,4.17849084494984,7
E01000368,-0.009721622181054379,4.321208180852433,8
E01000369,-0.3523442571021769,3.2523084814413092,4
E01000370,-0.12657950066985027,3.956639881915465,6
E01000371,-0.4540982649355964,2.9348606035097804,3
E01000372,-0.012545456011264625,4.312398502726546,8
E01000373,-0.3255467582836793,3.3359101922233663,4
E01000374,-0.18641336832131392,3.769972695837761,6
E01000375,-0.5420948758194705,2.660332474495115,2
E01000376,-0.28386347292224406,3.4659519543607797,5
E01000377,-0.30678522322842866,3.39444164092834,4
E01000379,-0.26649442888876945,3.5201391680885408,5
E01000380,0.08759159907420888,4.624801879419447,9
E01000381,-0.10196353929824738,4.033435723838984,7
E01000382,-0.4571740336319994,2.925264949574657,3
E01000383,-0.05677931840481202,4.17439955753969,7
E01000384,-0.16026369772790153,3.851553339344963,6
E01000385,-0.17086226004572938,3.8184883899777846,6
E01000386,0.3669613556563535,5.496367906876916,10
E01000387,-0.25548744896204745,3.554478281550224,5
E01000388,-0.1887901297138975,3.7625577755167807,6
E01000389,-0.29810771864768976,3.4215133550902666,4
E01000390,-0.27140849362054875,3.504808475427517,5
E01000391,-0.2787510786604031,3.4819013871558746,5
E01000392,-0.3134549416380103,3.3736337336959417,4
E01000393,-0.4579412140293364,2.9228715324079935,3
E01000394,-0.054561319433942046,4.181319177528612,7
E01000395,-0.4663941281867536,2.896500486011449,2
E01000396,-0.22256030983581554,3.657202986596638,5
E01000398,0.18699613197415602,4.934919964178552,9
E01000399,0.121929487238106,4.731927780033843,9
E01000400,-0.1282109361722973,3.95155019798791,6
E01000401,0.30636333814502154,5.307316758175999,10
E01000402,-0.08201068516377168,4.095683799748053,7
E01000403,0.28138876275591196,5.229402127309637,10
E01000404,-0.11297509097238134,3.99908234763183,7
E01000405,-0.4799107510899359,2.8543318938470956,2
E01000406,-0.34483203728957706,3.275744789148904,4
E01000407,-0.07381433928687942,4.121254415204024,7
E01000408,-0.11415259526522152,3.9954088192178006,7
E01000409,-0.41731015546004685,3.049630601613879,3
E01000410,-0.3505721966675372,3.257836881123253,4
E01000411,-0.33323052269507364,3.311938706884763,4
E01000412,-0.2896072755514873,3.448032680272865,4
E01000413,-0.28268971468228105,3.4696137959964513,5
E01000414,-0.30176797102942393,3.4100942535136722,4
E01000415,-0.3897891270746472,3.135489549536018,3
E01000416,-0.09739690197835478,4.047682527059316,7
E01000417,-0.11852512007911337,3.9817676000370756,7
E01000418,-0.0377429993589815,4.233788265792041,7
