lsoa_code,major_cat,crime_count_window
E01000073,MISCELLANEOUS CRIMES AGAINST SOCIETY,2
E01000073,POSSESSION OF WEAPONS,1
E01000073,PUBLIC ORDER OFFENCES,4
E01000073,ROBBERY,9
E01000073,THEFT,8
E01000073,VEHICLE OFFENCES,14
E01000073,VIOLENCE AGAINST THE PERSON,50
E01000074,ARSON AND CRIMINAL DAMAGE,13
E01000074,BURGLARY,4
E01000074,DRUG OFFENCES,12
E01000074,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000074,POSSESSION OF WEAPONS,1
E01000074,PUBLIC ORDER OFFENCES,6
E01000074,ROBBERY,2
E01000074,THEFT,7
E01000074,VEHICLE OFFENCES,18
E01000074,VIOLENCE AGAINST THE PERSON,39
E01000075,ARSON AND CRIMINAL DAMAGE,19
E01000075,BURGLARY,7
E01000075,DRUG OFFENCES,16
E01000075,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000075,POSSESSION OF WEAPONS,0
E01000075,PUBLIC ORDER OFFENCES,14
E01000075,ROBBERY,38
E01000075,THEFT,53
E01000075,VEHICLE OFFENCES,15
E01000075,VIOLENCE AGAINST THE PERSON,57
E01000076,ARSON AND CRIMINAL DAMAGE,7
E01000076,BURGLARY,6
E01000076,DRUG OFFENCES,9
E01000076,MISCELLANEOUS CRIMES AGAINST SOCIETY,1
E01000076,POSSESSION OF WEAPONS,1
E01000076,PUBLIC ORDER OFFENCES,6
E01000076,ROBBERY,1
E01000076,THEFT,9
E01000076,VEHICLE OFFENCES,16
E01000076,VIOLENCE AGAINST THE PERSON,52
E01000077,ARSON AND CRIMINAL DAMAGE,9
E01000077,BURGLARY,5
E01000077,DRUG OFFENCES,4
E01000077,MISCELLANEOUS CRIMES AGAINST SOCIETY,0
E01000077,POSSESSION OF WEAPONS,0
E01000077,PUBLIC ORDER OFFENCES,7
E01000077,ROBBERY,4
E01000077,THEFT,17
E01000077,VEHICLE OFFENCES,15
E01000077,VIOLENCE AGAINST THE PERSON,33
E01000078,ARSON AND CRIMINAL DAMAGE,8
E01000078,BURGLARY,6
E01000078,DRUG OFFENCES,6
E01000078,MISCELLANEOUS CRIMES AGAINST SOCIETY,4
E01000078,PUBLIC ORDER OFFENCES,6
E01000078,ROBBERY,6
E01000078,THEFT,10
E01000078,VEHICLE OFFENCES,13
