lsoa_code,ics_score_z,ics_z,lisa_I,lisa_p,lisa_class,gistar_z,gistar_p,gistar_class
E01001254,0.0321677315019236,0.05164809215143672,-0.019536970918117152,0.89,Not sig,-0.3858529574144901,0.73,Not sig
E01001260,0.3128031137431546,0.5022326191356165,0.4968410834665224,0.22,Not sig,1.3729409257734282,0.17,Not sig
E01001282,1.5095269124806978,2.423676816508258,2.2481570749506687,0.01,HH (hotspot),3.0178708465700392,0.02,Hotspot (Gi*)
E01001300,-0.7080891801722227,-1.1368987964470598,0.807867354923069,0.07,Not sig,-1.7817292702162935,0.08,Not sig
E01001342,-0.3703156482119173,-0.5945739979464761,0.000505856850618171,0.98,Not sig,-0.4031833334734766,0.52,Not sig
E01001316,-0.0741799257544368,-0.11910232591075376,-0.012598041368016169,0.9,Not sig,0.04544841660125815,0.97,Not sig
E01001312,-0.2409536531908521,-0.3868720579031771,0.10012772840625547,0.62,Not sig,-0.5988662657350349,0.55,Not sig
E01001310,0.0581296093103515,0.09333214616667872,-0.005872658579387728,0.94,Not sig,0.15448322239441745,0.98,Not sig
E01001212,-0.3251922595582646,-0.5221244708410439,0.5010911581267482,0.22,Not sig,-1.410336221159884,0.15,Not sig
E01001213,0.5829744085268082,0.9360161431253103,0.3674216280491537,0.19,Not sig,1.279472401582729,0.18,Not sig
E01001269,-0.2551469991011442,-0.40966070986230346,0.0607212884529681,0.7,Not sig,-0.4464276883179129,0.65,Not sig
E01001274,-0.6436741528622588,-1.0334748647270602,-0.02090050062528693,0.88,Not sig,-0.9487916464892808,0.34,Not sig
E01001286,0.439763199226707,0.7060780844030845,0.10292709828682434,0.57,Not sig,0.8588676615947449,0.45,Not sig
E01001289,-0.4544460090364742,-0.7296526132457978,0.19640694663818006,0.48,Not sig,-0.8316431818591402,0.36,Not sig
E01001297,0.206846515874345,0.33211008094999417,0.01790108663865361,0.84,Not sig,0.3584182675847878,0.71,Not sig
E01001313,-0.0361822155939641,-0.058093695700250296,0.020098758928735153,0.9,Not sig,-0.3113969558563856,0.68,Not sig
E01001358,-0.4463243388942028,-0.716612565087397,0.19381630721859805,0.37,Not sig,-0.8299450515128143,0.35,Not sig
E01001359,-0.2047000416213125,-0.3286637297512852,0.08583992838293728,0.61,Not sig,-0.4003839493498696,0.59,Not sig
E01001388,0.97922094763062,1.5722244428960646,-0.5653944242512045,0.14,Not sig,1.079626465717175,0.24,Not sig
E01001210,0.8723421764037388,1.4006212751368452,1.4432656492708933,0.04,HH (hotspot),2.4804711135248687,0.01,Hotspot (Gi*)
E01001227,-0.5429686216107743,-0.8717833709415913,0.9290211731383122,0.14,Not sig,-1.7203079580789091,0.09,Not sig
E01001237,-0.5122209108427148,-0.8224152456480981,0.024295716502096183,0.88,Not sig,-0.7844509517758292,0.39,Not sig
E01001240,0.0044784845380092,0.007190596641982475,0.0036715542104428546,0.94,Not sig,0.33453429462909945,0.63,Not sig
