lsoa_code,Region name,rDERI_score_0_10,rDERI_decile,broadband_score_z,deprivation_score_z,demography_score_z
E01002622,London,1.0733923865627069,3,-0.5633437082336623,-0.037115123800850566,-0.3272477043694984
E01002623,London,1.1807691406266299,5,-0.5449167780553985,0.14032187950533737,0.1556006718159398
E01002624,London,1.153557160523273,4,-0.330986023579436,0.16049433501773466,-0.250505370886523
E01002625,London,1.195172587277229,5,-0.36947434042349325,0.07302594047969745,0.13849619276649172
E01002626,London,1.120385341581394,4,-0.615342913023274,-0.10790727616776678,0.0925790522735808
E01002627,London,1.2474342277064479,6,-0.40308234971708456,0.40707984726043267,0.1683882626734461
E01002628,London,1.1425415406292363,4,-0.34367640303206565,-0.25349583613454924,0.10654710345640568
E01002629,London,1.1729169312632173,5,-0.43494505499176905,-0.3378897139631651,0.4742079080486094
E01002630,London,1.010210411745436,2,-0.4818380986783251,-0.19530198961528503,-0.6499302064170277
E01002631,London,1.241671392745767,6,-0.07486129495174146,0.05700014807901907,0.1538208942107726
E01002632,London,1.172190932997628,5,-0.51591761374186,-0.13394104751679475,0.3466428745280212
E01002633,London,1.2200266250092833,6,-0.20944377313499127,0.155906565365677,0.052683634284204896
E01002634,London,1.2885800159797753,7,0.3788688657290284,0.25700091991778606,-0.2034076873470728
E01002635,London,1.139903720774922,4,-0.514861789560088,-0.009114444097267176,0.016677835457305296
E01002636,London,1.1371968603734506,4,-0.546039390211014,-0.1527058723271285,0.17433720693549573
E01002638,London,1.330911847172986,8,-0.21685988402031883,0.43733780326140426,0.47955731602083046
E01002639,London,1.0359585131130196,2,-0.42813523446424745,-0.3925531947512824,-0.34363199005741785
E01002640,London,1.016748560710464,2,-0.4121999368264502,-0.37015686425707406,-0.5033868375579788
E01002641,London,1.0841589538224023,3,-0.548067533258433,-0.1544063075529392,-0.15717884356714462
E01002643,London,1.3796666121712708,9,-0.3639894676764084,0.09768128506319353,1.2745149532122808
E01002646,London,1.2754454674811444,7,-0.2898544744749428,0.29027351603972973,0.3490215515153978
E01002647,London,1.142092499396227,4,-0.34917033774741907,0.15257162764069285,-0.29686474768771726
