lsoa_code,crime_count_window,crime_rate_per_1000_window
E01002767,216.0,103.7463976945245
E01002763,136.0,87.23540731237973
E01002760,122.0,73.14148681055156
E01002757,91.0,60.10568031704095
E01002755,115.0,81.10014104372355
E01002753,71.0,49.581005586592184
E01002752,78.0,43.79562043795621
E01002751,172.0,86.95652173913044
E01002749,86.0,52.9882932840419
E01002747,161.0,90.80654258319232
E01002741,143.0,82.89855072463769
E01002736,191.0,118.0469715698393
E01002733,121.0,77.2669220945083
E01002725,107.0,66.916823014384
E01002723,239.0,137.59355210132412
E01002722,131.0,89.84910836762688
E01002721,130.0,67.63787721123829
E01002720,208.0,85.07157464212679
E01002715,222.0,132.61648745519713
E01002714,180.0,99.7229916897507
E01002711,774.0,328.5229202037351
E01002709,109.0,63.37209302325582
E01002703,237.0,94.01031336771122
E01002702,493.0,225.93950504124658
E01002701,637.0,352.90858725761774
E01002698,146.0,59.01374292643492
E01002694,110.0,66.66666666666667
E01033486,131.0,132.72543059777104
E01033487,30.0,22.23869532987398
E01033493,29.0,17.41741741741742
E01035651,156.0,51.43422354104847
E01002697,163.0,74.9770009199632
E01002699,88.0,54.020871700429716
E01002707,305.0,142.58999532491816
E01002717,60.0,45.97701149425287
E01002718,89.0,48.50136239782017
E01002719,146.0,87.84596871239471
E01002727,195.0,114.84098939929328
E01002728,148.0,96.92206941715783
E01002729,220.0,127.09416522241479
E01002730,309.0,156.85279187817258
E01002735,542.0,292.97297297297297
E01002737,138.0,69.80273141122915
E01002742,97.0,57.227138643067846
E01002743,110.0,58.8235294117647
E01002744,104.0,63.842848373235114
E01002745,107.0,64.92718446601941
E01002756,130.0,92.06798866855524
E01002759,96.0,59.5903165735568
E01002764,193.0,103.2637774210808
E01002766,241.0,99.58677685950414
E01002771,128.0,84.71211118464593
E01002773,156.0,110.09174311926606
E01002775,160.0,104.64355788096795
E01002776,150.0,73.96449704142012
E01002782,134.0,80.48048048048048
E01002786,191.0,96.85598377281947
E01002791,353.0,178.2828282828283
E01002792,220.0,104.76190476190476
E01002797,246.0,118.04222648752399
E01002798,172.0,87.2210953346856
E01002804,168.0,91.30434782608695
E01002811,97.0,61.86224489795918
E01033489,252.0,131.38686131386862
E01035653,106.0,56.02536997885836
E01002807,171.0,91.29738387613455
E01002806,125.0,76.59313725490196
E01002801,270.0,157.43440233236151
E01002800,143.0,104.45580715850986
E01002795,569.0,260.65048098946403
E01002793,172.0,86.0
E01002790,282.0,187.5
E01002787,83.0,67.20647773279352
E01002765,333.0,95.71716010347801
